,Collectief,KWEA,Penta,Vegitec,LAGO,PTI,QUBUS
0,0,65.43833761,0,0,475.5555806,77.07373611,0
1,0,65.43833761,0,0,723.1386406,77.07373611,0
2,0,65.43833761,0,0,723.1386406,77.07373611,0
3,0,65.43833761,0,0,230.423838,77.07373611,0
4,0,65.43833761,0,0,475.5555806,77.07373611,0
5,120.112435,247.2835603,89.45481419,43.05602826,595.6701344,534.7529692,35.78192568
6,123.3985028,254.0488097,91.90214275,44.23396651,598.1214518,549.3828829,36.7608571
7,125.3009678,257.9655425,93.3190206,44.91593241,349.3127331,557.8528534,37.32760824
8,125.9062959,259.2117721,93.76984412,45.13292096,229.1981793,560.5478365,37.50793765
9,110.2542174,226.987784,82.11281821,39.52220854,596.8957932,490.8631664,32.84512728
10,90.53779195,186.3962507,67.42883332,32.4545725,354.215368,403.0836032,26.97153333
11,75.31809567,155.0624369,56.09382789,26.99885367,600.5727692,335.323943,22.43753116
12,59.75249455,123.0164853,44.50120672,21.41914028,471.8786044,266.0242787,17.80048269
13,49.20247169,101.2964427,36.64398248,17.63733299,354.215368,219.0544871,14.65759299
14,42.37090663,87.2318395,31.55611308,15.18846033,843.2531944,188.6396537,12.62244523
15,55.94756983,115.1830305,41.66745488,20.05521034,475.5555806,249.0843608,16.66698195
16,83.87917369,172.6877048,62.4697676,30.06769511,354.215368,373.4387468,24.98790704
17,95.20747229,196.0100362,70.90661967,34.12848652,473.1042631,423.8735025,28.36264787
18,96.85050796,199.3926644,72.13028524,34.71745627,473.1042631,431.188467,28.8521141
19,102.298471,210.6087527,76.18770458,36.67035689,478.006898,455.4433611,30.47508183
20,108.1788066,222.7149958,80.56713732,38.77824768,230.423838,481.6232227,32.22685493
21,113.1943883,233.0409117,84.30253683,40.57615502,350.5383919,503.9531107,33.72101473
22,116.1345582,239.0940376,86.4922548,41.63010119,473.1042631,517.0430511,34.59690192
23,117.4316925,241.7645354,87.45830721,42.09507762,474.3299219,522.818027,34.98332288
24,0,65.43833761,0,0,839.5762183,77.07373611,0
25,0,65.43833761,0,0,840.801877,77.07373611,0
26,0,65.43833761,0,0,844.4788531,77.07373611,0
27,0,65.43833761,0,0,473.1042631,77.07373611,0
28,0,65.43833761,0,0,598.1214518,77.07373611,0
29,126.079247,259.5678382,93.89865102,45.19491777,599.3471106,561.3178328,37.55946041
30,124.6956371,256.7193075,92.86819516,44.69894294,721.9129818,555.1578587,37.14727806
31,121.582516,250.3101153,90.54967028,43.58299995,226.7468619,541.2979221,36.21986811
