Time,Temp
2018-12-01T00:00:00Z,-3.042
2018-12-01T01:00:00Z,-2.942
2018-12-01T02:00:00Z,-2.79
2018-12-01T03:00:00Z,-2.676
2018-12-01T04:00:00Z,-2.682
2018-12-01T05:00:00Z,-2.664
2018-12-01T06:00:00Z,-2.599
2018-12-01T07:00:00Z,-2.019
2018-12-01T08:00:00Z,-0.705
2018-12-01T09:00:00Z,0.388
2018-12-01T10:00:00Z,1.246
2018-12-01T11:00:00Z,1.954
2018-12-01T12:00:00Z,2.373
2018-12-01T13:00:00Z,2.252
2018-12-01T14:00:00Z,1.333
2018-12-01T15:00:00Z,0.268
2018-12-01T16:00:00Z,-0.241
2018-12-01T17:00:00Z,-0.686
2018-12-01T18:00:00Z,-0.88
2018-12-01T19:00:00Z,-0.964
2018-12-01T20:00:00Z,-1.089
2018-12-01T21:00:00Z,-1.257
2018-12-01T22:00:00Z,-1.425
2018-12-01T23:00:00Z,-1.738
2018-12-02T00:00:00Z,-2.026
2018-12-02T01:00:00Z,-2.265
2018-12-02T02:00:00Z,-2.296
2018-12-02T03:00:00Z,-2.457
2018-12-02T04:00:00Z,-2.749
2018-12-02T05:00:00Z,-2.969
2018-12-02T06:00:00Z,-3.14
2018-12-02T07:00:00Z,-2.554
2018-12-02T08:00:00Z,-1.063
2018-12-02T09:00:00Z,0.192
2018-12-02T10:00:00Z,1.092
2018-12-02T11:00:00Z,1.728
2018-12-02T12:00:00Z,1.993
2018-12-02T13:00:00Z,1.815
2018-12-02T14:00:00Z,1.314
2018-12-02T15:00:00Z,0.935
2018-12-02T16:00:00Z,1.006
2018-12-02T17:00:00Z,1.153
2018-12-02T18:00:00Z,1.327
2018-12-02T19:00:00Z,1.466
2018-12-02T20:00:00Z,1.694
2018-12-02T21:00:00Z,1.854
2018-12-02T22:00:00Z,2.042
2018-12-02T23:00:00Z,2.306
2018-12-03T00:00:00Z,2.491
2018-12-03T01:00:00Z,2.57
2018-12-03T02:00:00Z,2.619
2018-12-03T03:00:00Z,2.728
2018-12-03T04:00:00Z,2.696
2018-12-03T05:00:00Z,2.506
2018-12-03T06:00:00Z,2.397
2018-12-03T07:00:00Z,2.767
2018-12-03T08:00:00Z,3.496
2018-12-03T09:00:00Z,4.31
2018-12-03T10:00:00Z,5.21
2018-12-03T11:00:00Z,6.177
2018-12-03T12:00:00Z,6.789
2018-12-03T13:00:00Z,6.624
2018-12-03T14:00:00Z,5.224
2018-12-03T15:00:00Z,4.019
2018-12-03T16:00:00Z,3.971
2018-12-03T17:00:00Z,4.053
2018-12-03T18:00:00Z,4.11
2018-12-03T19:00:00Z,4.102
2018-12-03T20:00:00Z,4.067
2018-12-03T21:00:00Z,4.06
2018-12-03T22:00:00Z,3.927
2018-12-03T23:00:00Z,3.67
2018-12-04T00:00:00Z,3.424
2018-12-04T01:00:00Z,3.362
2018-12-04T02:00:00Z,3.509
2018-12-04T03:00:00Z,3.544
2018-12-04T04:00:00Z,3.589
2018-12-04T05:00:00Z,3.983
2018-12-04T06:00:00Z,3.959
2018-12-04T07:00:00Z,4.499
2018-12-04T08:00:00Z,5.634
2018-12-04T09:00:00Z,6.704
2018-12-04T10:00:00Z,7.335
2018-12-04T11:00:00Z,7.531
2018-12-04T12:00:00Z,7.327
2018-12-04T13:00:00Z,6.582
2018-12-04T14:00:00Z,5.111
2018-12-04T15:00:00Z,3.396
2018-12-04T16:00:00Z,2.461
2018-12-04T17:00:00Z,1.743
2018-12-04T18:00:00Z,1.178
2018-12-04T19:00:00Z,0.725
2018-12-04T20:00:00Z,0.29
2018-12-04T21:00:00Z,0.046
2018-12-04T22:00:00Z,-0.244
2018-12-04T23:00:00Z,-0.428
2018-12-05T00:00:00Z,-0.681
2018-12-05T01:00:00Z,-0.966
2018-12-05T02:00:00Z,-1.16
2018-12-05T03:00:00Z,-1.397
2018-12-05T04:00:00Z,-1.366
2018-12-05T05:00:00Z,-1.434
2018-12-05T06:00:00Z,-1.186
2018-12-05T07:00:00Z,-0.328
2018-12-05T08:00:00Z,1.248
2018-12-05T09:00:00Z,2.74
2018-12-05T10:00:00Z,3.996
2018-12-05T11:00:00Z,4.567
2018-12-05T12:00:00Z,4.663
2018-12-05T13:00:00Z,4.103
2018-12-05T14:00:00Z,2.028
2018-12-05T15:00:00Z,-0.135
2018-12-05T16:00:00Z,-0.746
2018-12-05T17:00:00Z,-1.151
2018-12-05T18:00:00Z,-1.425
2018-12-05T19:00:00Z,-1.5
2018-12-05T20:00:00Z,-1.681
2018-12-05T21:00:00Z,-1.961
2018-12-05T22:00:00Z,-2.023
2018-12-05T23:00:00Z,-1.896
2018-12-06T00:00:00Z,-1.693
2018-12-06T01:00:00Z,-1.44
2018-12-06T02:00:00Z,-1.204
2018-12-06T03:00:00Z,-0.957
2018-12-06T04:00:00Z,-0.775
2018-12-06T05:00:00Z,-0.623
2018-12-06T06:00:00Z,-0.5
2018-12-06T07:00:00Z,0.081
2018-12-06T08:00:00Z,1.318
2018-12-06T09:00:00Z,2.552
2018-12-06T10:00:00Z,3.369
2018-12-06T11:00:00Z,3.951
2018-12-06T12:00:00Z,4.163
2018-12-06T13:00:00Z,3.782
2018-12-06T14:00:00Z,2.778
2018-12-06T15:00:00Z,1.781
2018-12-06T16:00:00Z,1.497
2018-12-06T17:00:00Z,1.558
2018-12-06T18:00:00Z,1.671
2018-12-06T19:00:00Z,1.714
2018-12-06T20:00:00Z,1.797
2018-12-06T21:00:00Z,1.884
2018-12-06T22:00:00Z,2.037
2018-12-06T23:00:00Z,2.275
2018-12-07T00:00:00Z,2.453
2018-12-07T01:00:00Z,2.466
2018-12-07T02:00:00Z,2.543
2018-12-07T03:00:00Z,2.64
2018-12-07T04:00:00Z,2.648
2018-12-07T05:00:00Z,2.729
2018-12-07T06:00:00Z,2.881
2018-12-07T07:00:00Z,3.632
