Time,originele Temp,Temp
2018-12-01T00:00:00Z,-3.042,11.15
2018-12-01T01:00:00Z,-2.942,11.11
2018-12-01T02:00:00Z,-2.79,12.11
2018-12-01T03:00:00Z,-2.676,15.14
2018-12-01T04:00:00Z,-2.682,11.1
2018-12-01T05:00:00Z,-2.664,11.14
2018-12-01T06:00:00Z,-2.599,15.1
2018-12-01T07:00:00Z,-2.019,11.11
2018-12-01T08:00:00Z,-0.705,13.14
2018-12-01T09:00:00Z,0.388,13.13
2018-12-01T10:00:00Z,1.246,11.13
2018-12-01T11:00:00Z,1.954,14.11
2018-12-01T12:00:00Z,2.373,10.15
2018-12-01T13:00:00Z,2.252,12.11
2018-12-01T14:00:00Z,1.333,15.15
2018-12-01T15:00:00Z,0.268,10.1
2018-12-01T16:00:00Z,-0.241,14.12
2018-12-01T17:00:00Z,-0.686,13.15
2018-12-01T18:00:00Z,-0.88,14.13
2018-12-01T19:00:00Z,-0.964,14.1
2018-12-01T20:00:00Z,-1.089,10.1
2018-12-01T21:00:00Z,-1.257,13.12
2018-12-01T22:00:00Z,-1.425,11.13
2018-12-01T23:00:00Z,-1.738,13.1
2018-12-02T00:00:00Z,-2.026,11.13
2018-12-02T01:00:00Z,-2.265,13.11
2018-12-02T02:00:00Z,-2.296,13.12
2018-12-02T03:00:00Z,-2.457,10.13
2018-12-02T04:00:00Z,-2.749,11.14
2018-12-02T05:00:00Z,-2.969,14.15
2018-12-02T06:00:00Z,-3.14,14.12
2018-12-02T07:00:00Z,-2.554,14.14
2018-12-02T08:00:00Z,-1.063,12.11
2018-12-02T09:00:00Z,0.192,15.13
2018-12-02T10:00:00Z,1.092,15.15
2018-12-02T11:00:00Z,1.728,11.14
2018-12-02T12:00:00Z,1.993,13.1
2018-12-02T13:00:00Z,1.815,14.14
2018-12-02T14:00:00Z,1.314,12.1
2018-12-02T15:00:00Z,0.935,12.11
2018-12-02T16:00:00Z,1.006,11.14
2018-12-02T17:00:00Z,1.153,14.15
2018-12-02T18:00:00Z,1.327,10.14
2018-12-02T19:00:00Z,1.466,12.11
2018-12-02T20:00:00Z,1.694,10.15
2018-12-02T21:00:00Z,1.854,14.11
2018-12-02T22:00:00Z,2.042,12.11
2018-12-02T23:00:00Z,2.306,12.12
2018-12-03T00:00:00Z,2.491,14.11
2018-12-03T01:00:00Z,2.57,11.11
2018-12-03T02:00:00Z,2.619,12.11
2018-12-03T03:00:00Z,2.728,11.14
2018-12-03T04:00:00Z,2.696,11.14
2018-12-03T05:00:00Z,2.506,12.14
2018-12-03T06:00:00Z,2.397,14.1
2018-12-03T07:00:00Z,2.767,12.11
2018-12-03T08:00:00Z,3.496,12.14
2018-12-03T09:00:00Z,4.31,15.11
2018-12-03T10:00:00Z,5.21,14.15
2018-12-03T11:00:00Z,6.177,14.15
2018-12-03T12:00:00Z,6.789,11.14
2018-12-03T13:00:00Z,6.624,10.13
2018-12-03T14:00:00Z,5.224,11.12
2018-12-03T15:00:00Z,4.019,14.12
2018-12-03T16:00:00Z,3.971,11.13
2018-12-03T17:00:00Z,4.053,13.15
2018-12-03T18:00:00Z,4.11,11.15
2018-12-03T19:00:00Z,4.102,14.15
2018-12-03T20:00:00Z,4.067,11.15
2018-12-03T21:00:00Z,4.06,15.1
2018-12-03T22:00:00Z,3.927,13.15
2018-12-03T23:00:00Z,3.67,12.13
2018-12-04T00:00:00Z,3.424,15.13
2018-12-04T01:00:00Z,3.362,11.15
2018-12-04T02:00:00Z,3.509,12.14
2018-12-04T03:00:00Z,3.544,12.1
2018-12-04T04:00:00Z,3.589,14.13
2018-12-04T05:00:00Z,3.983,14.11
2018-12-04T06:00:00Z,3.959,10.13
2018-12-04T07:00:00Z,4.499,10.15
2018-12-04T08:00:00Z,5.634,14.11
2018-12-04T09:00:00Z,6.704,12.11
2018-12-04T10:00:00Z,7.335,15.14
2018-12-04T11:00:00Z,7.531,12.1
2018-12-04T12:00:00Z,7.327,10.11
2018-12-04T13:00:00Z,6.582,12.13
2018-12-04T14:00:00Z,5.111,11.13
2018-12-04T15:00:00Z,3.396,13.12
2018-12-04T16:00:00Z,2.461,12.12
2018-12-04T17:00:00Z,1.743,13.12
2018-12-04T18:00:00Z,1.178,15.15
2018-12-04T19:00:00Z,0.725,11.13
2018-12-04T20:00:00Z,0.29,15.14
2018-12-04T21:00:00Z,0.046,15.1
2018-12-04T22:00:00Z,-0.244,13.11
2018-12-04T23:00:00Z,-0.428,12.1
2018-12-05T00:00:00Z,-0.681,11.14
2018-12-05T01:00:00Z,-0.966,11.15
2018-12-05T02:00:00Z,-1.16,10.1
2018-12-05T03:00:00Z,-1.397,15.13
2018-12-05T04:00:00Z,-1.366,14.1
2018-12-05T05:00:00Z,-1.434,15.15
2018-12-05T06:00:00Z,-1.186,10.14
2018-12-05T07:00:00Z,-0.328,11.13
2018-12-05T08:00:00Z,1.248,14.11
2018-12-05T09:00:00Z,2.74,11.1
2018-12-05T10:00:00Z,3.996,14.15
2018-12-05T11:00:00Z,4.567,15.14
2018-12-05T12:00:00Z,4.663,15.11
2018-12-05T13:00:00Z,4.103,12.12
2018-12-05T14:00:00Z,2.028,11.14
2018-12-05T15:00:00Z,-0.135,11.1
2018-12-05T16:00:00Z,-0.746,10.12
2018-12-05T17:00:00Z,-1.151,10.13
2018-12-05T18:00:00Z,-1.425,12.14
2018-12-05T19:00:00Z,-1.5,13.1
2018-12-05T20:00:00Z,-1.681,14.1
2018-12-05T21:00:00Z,-1.961,13.14
2018-12-05T22:00:00Z,-2.023,11.1
2018-12-05T23:00:00Z,-1.896,13.12
2018-12-06T00:00:00Z,-1.693,12.1
2018-12-06T01:00:00Z,-1.44,13.14
2018-12-06T02:00:00Z,-1.204,12.11
2018-12-06T03:00:00Z,-0.957,15.12
2018-12-06T04:00:00Z,-0.775,10.11
2018-12-06T05:00:00Z,-0.623,11.12
2018-12-06T06:00:00Z,-0.5,14.1
2018-12-06T07:00:00Z,0.081,15.13
2018-12-06T08:00:00Z,1.318,11.14
2018-12-06T09:00:00Z,2.552,15.11
2018-12-06T10:00:00Z,3.369,10.12
2018-12-06T11:00:00Z,3.951,13.12
2018-12-06T12:00:00Z,4.163,10.14
2018-12-06T13:00:00Z,3.782,10.12
2018-12-06T14:00:00Z,2.778,13.14
2018-12-06T15:00:00Z,1.781,15.11
2018-12-06T16:00:00Z,1.497,13.13
2018-12-06T17:00:00Z,1.558,14.13
2018-12-06T18:00:00Z,1.671,10.1
2018-12-06T19:00:00Z,1.714,10.1
2018-12-06T20:00:00Z,1.797,15.15
2018-12-06T21:00:00Z,1.884,14.11
2018-12-06T22:00:00Z,2.037,13.13
2018-12-06T23:00:00Z,2.275,11.1
2018-12-07T00:00:00Z,2.453,15.12
2018-12-07T01:00:00Z,2.466,15.11
2018-12-07T02:00:00Z,2.543,12.12
2018-12-07T03:00:00Z,2.64,12.12
2018-12-07T04:00:00Z,2.648,13.13
2018-12-07T05:00:00Z,2.729,14.12
2018-12-07T06:00:00Z,2.881,12.13
2018-12-07T07:00:00Z,3.632,12.11
2018-12-07T08:00:00Z,5.538,11.14
2018-12-07T09:00:00Z,7.191,12.11
2018-12-07T10:00:00Z,8.446,14.12
2018-12-07T11:00:00Z,9.341,11.1
2018-12-07T12:00:00Z,9.583,15.11
2018-12-07T13:00:00Z,8.881,14.14
2018-12-07T14:00:00Z,6.779,14.12
2018-12-07T15:00:00Z,4.831,10.14
2018-12-07T16:00:00Z,4.291,12.15
2018-12-07T17:00:00Z,3.828,14.15
2018-12-07T18:00:00Z,3.585,13.12
2018-12-07T19:00:00Z,3.413,10.13
2018-12-07T20:00:00Z,3.136,14.12
2018-12-07T21:00:00Z,3.014,15.14
2018-12-07T22:00:00Z,2.9,11.12
2018-12-07T23:00:00Z,2.889,13.12
2018-12-08T00:00:00Z,2.977,10.11
2018-12-08T01:00:00Z,3.167,14.15
2018-12-08T02:00:00Z,3.04,13.15
2018-12-08T03:00:00Z,3.072,11.1
2018-12-08T04:00:00Z,2.928,10.11
2018-12-08T05:00:00Z,2.603,12.12
2018-12-08T06:00:00Z,2.255,11.1
2018-12-08T07:00:00Z,2.253,13.1
2018-12-08T08:00:00Z,2.896,12.1
2018-12-08T09:00:00Z,3.539,10.12
2018-12-08T10:00:00Z,4.137,15.13
2018-12-08T11:00:00Z,4.78,13.15
2018-12-08T12:00:00Z,5.286,14.12
2018-12-08T13:00:00Z,5.192,13.15
2018-12-08T14:00:00Z,3.927,12.11
2018-12-08T15:00:00Z,2.38,12.13
2018-12-08T16:00:00Z,2.058,14.15
2018-12-08T17:00:00Z,2.075,11.15
2018-12-08T18:00:00Z,2.117,10.11
2018-12-08T19:00:00Z,2.05,10.14
2018-12-08T20:00:00Z,1.828,11.12
2018-12-08T21:00:00Z,1.541,11.15
2018-12-08T22:00:00Z,1.251,12.14
2018-12-08T23:00:00Z,1.038,12.15
2018-12-09T00:00:00Z,1.024,14.1
2018-12-09T01:00:00Z,1.264,11.11
2018-12-09T02:00:00Z,1.71,10.14
2018-12-09T03:00:00Z,1.813,14.12
2018-12-09T04:00:00Z,1.751,11.14
2018-12-09T05:00:00Z,1.603,14.12
2018-12-09T06:00:00Z,1.639,12.12
2018-12-09T07:00:00Z,2.199,15.14
2018-12-09T08:00:00Z,3.305,14.14
2018-12-09T09:00:00Z,4.296,11.1
2018-12-09T10:00:00Z,4.923,13.14
2018-12-09T11:00:00Z,5.249,10.15
2018-12-09T12:00:00Z,5.318,12.11
2018-12-09T13:00:00Z,4.943,13.15
2018-12-09T14:00:00Z,4.045,10.14
2018-12-09T15:00:00Z,3.202,12.12
2018-12-09T16:00:00Z,2.975,13.11
2018-12-09T17:00:00Z,2.729,10.1
2018-12-09T18:00:00Z,2.375,11.12
2018-12-09T19:00:00Z,2.147,11.14
2018-12-09T20:00:00Z,2.151,12.11
2018-12-09T21:00:00Z,2.235,14.1
2018-12-09T22:00:00Z,2.188,10.14
2018-12-09T23:00:00Z,2.146,13.14
2018-12-10T00:00:00Z,2.055,11.13
2018-12-10T01:00:00Z,1.884,14.15
2018-12-10T02:00:00Z,1.683,13.12
2018-12-10T03:00:00Z,1.456,10.14
2018-12-10T04:00:00Z,1.201,13.14
2018-12-10T05:00:00Z,0.893,11.11
2018-12-10T06:00:00Z,0.618,15.12
2018-12-10T07:00:00Z,0.881,15.15
2018-12-10T08:00:00Z,1.71,12.11
2018-12-10T09:00:00Z,2.408,13.15
2018-12-10T10:00:00Z,2.82,15.12
2018-12-10T11:00:00Z,2.953,15.1
2018-12-10T12:00:00Z,2.794,12.11
2018-12-10T13:00:00Z,2.375,13.12
2018-12-10T14:00:00Z,1.469,12.12
2018-12-10T15:00:00Z,0.467,12.14
2018-12-10T16:00:00Z,0.084,14.12
2018-12-10T17:00:00Z,-0.125,10.15
2018-12-10T18:00:00Z,-0.23,12.14
2018-12-10T19:00:00Z,-0.312,11.1
2018-12-10T20:00:00Z,-0.493,11.1
2018-12-10T21:00:00Z,-0.673,11.1
2018-12-10T22:00:00Z,-0.926,12.1
2018-12-10T23:00:00Z,-1.259,15.11
2018-12-11T00:00:00Z,-1.45,10.1
2018-12-11T01:00:00Z,-1.461,10.1
2018-12-11T02:00:00Z,-1.474,15.15
2018-12-11T03:00:00Z,-1.54,13.1
2018-12-11T04:00:00Z,-1.589,11.11
2018-12-11T05:00:00Z,-1.665,14.13
2018-12-11T06:00:00Z,-1.429,15.14
2018-12-11T07:00:00Z,-0.985,13.11
2018-12-11T08:00:00Z,-0.168,10.11
2018-12-11T09:00:00Z,0.504,12.13
2018-12-11T10:00:00Z,0.965,12.13
2018-12-11T11:00:00Z,1.272,10.15
2018-12-11T12:00:00Z,1.29,11.14
2018-12-11T13:00:00Z,0.943,11.12
2018-12-11T14:00:00Z,0.168,11.11
2018-12-11T15:00:00Z,-0.66,11.12
2018-12-11T16:00:00Z,-0.918,12.15
2018-12-11T17:00:00Z,-1.027,14.15
2018-12-11T18:00:00Z,-1.126,15.15
2018-12-11T19:00:00Z,-1.236,11.12
2018-12-11T20:00:00Z,-1.322,12.1
2018-12-11T21:00:00Z,-1.42,10.14
2018-12-11T22:00:00Z,-1.549,15.12
2018-12-11T23:00:00Z,-1.682,13.13
2018-12-12T00:00:00Z,-1.793,13.15
