Aansluitpuntdetails;
Naam; Hogeschool West-Vlaanderen - PV;
EAN-nummer;541454897100135689;
Straat;SINT-MARTENS-LATEMLAAN;
Huisnummer;1;
Postcode;8500;
Gemeente;KORTRIJK;
Energietype;Electriciteit;
Metering method;Continue
Richting;Production;
Metadata;
Geen meta gevonden voor dit aansluitpunt;;;
Kanaal;Tijdstip;Waarde;Validatie;Reden;Eenheid;
A;27/10/2020 00:15;0;N;ORIG;KWH;
A;27/10/2020 00:30;0;N;ORIG;KWH;
A;27/10/2020 00:45;0;N;ORIG;KWH;
A;27/10/2020 01:00;0;N;ORIG;KWH;
A;27/10/2020 01:15;0;N;ORIG;KWH;
A;27/10/2020 01:30;0;N;ORIG;KWH;
A;27/10/2020 01:45;0;N;ORIG;KWH;
A;27/10/2020 02:00;0;N;ORIG;KWH;
A;27/10/2020 02:15;0;N;ORIG;KWH;
A;27/10/2020 02:30;0;N;ORIG;KWH;
A;27/10/2020 02:45;0;N;ORIG;KWH;
A;27/10/2020 03:00;0;N;ORIG;KWH;
A;27/10/2020 03:15;0;N;ORIG;KWH;
A;27/10/2020 03:30;0;N;ORIG;KWH;
A;27/10/2020 03:45;0;N;ORIG;KWH;
A;27/10/2020 04:00;0;N;ORIG;KWH;
A;27/10/2020 04:15;0;N;ORIG;KWH;
A;27/10/2020 04:30;0;N;ORIG;KWH;
A;27/10/2020 04:45;0;N;ORIG;KWH;
A;27/10/2020 05:00;0;N;ORIG;KWH;
A;27/10/2020 05:15;0;N;ORIG;KWH;
A;27/10/2020 05:30;0;N;ORIG;KWH;
A;27/10/2020 05:45;0;N;ORIG;KWH;
A;27/10/2020 06:00;0;N;ORIG;KWH;
A;27/10/2020 06:15;0;N;ORIG;KWH;
A;27/10/2020 06:30;0;N;ORIG;KWH;
A;27/10/2020 06:45;0;N;ORIG;KWH;
A;27/10/2020 07:00;0;N;ORIG;KWH;
A;27/10/2020 07:15;0;N;ORIG;KWH;
A;27/10/2020 07:30;0;N;ORIG;KWH;
A;27/10/2020 07:45;0;N;ORIG;KWH;
A;27/10/2020 08:00;0;N;ORIG;KWH;
A;27/10/2020 08:15;0;N;ORIG;KWH;
A;27/10/2020 08:30;0;N;ORIG;KWH;
A;27/10/2020 08:45;0;N;ORIG;KWH;
A;27/10/2020 09:00;0;N;ORIG;KWH;
A;27/10/2020 09:15;1,035;N;ORIG;KWH;
A;27/10/2020 09:30;2,07;N;ORIG;KWH;
A;27/10/2020 09:45;2,745;N;ORIG;KWH;
A;27/10/2020 10:00;2,775;N;ORIG;KWH;
A;27/10/2020 10:15;3,585;N;ORIG;KWH;
A;27/10/2020 10:30;4,62;N;ORIG;KWH;
A;27/10/2020 10:45;4,89;N;ORIG;KWH;
A;27/10/2020 11:00;7,44;N;ORIG;KWH;
A;27/10/2020 11:15;8,655;N;ORIG;KWH;
A;27/10/2020 11:30;10,095;N;ORIG;KWH;
A;27/10/2020 11:45;8,565;N;ORIG;KWH;
A;27/10/2020 12:00;7,035;N;ORIG;KWH;
A;27/10/2020 12:15;8,04;N;ORIG;KWH;
A;27/10/2020 12:30;10,875;N;ORIG;KWH;
A;27/10/2020 12:45;7,335;N;ORIG;KWH;
A;27/10/2020 13:00;7,62;N;ORIG;KWH;
A;27/10/2020 13:15;7,095;N;ORIG;KWH;
A;27/10/2020 13:30;6,45;N;ORIG;KWH;
A;27/10/2020 13:45;5,01;N;ORIG;KWH;
A;27/10/2020 14:00;5,85;N;ORIG;KWH;
A;27/10/2020 14:15;5,49;N;ORIG;KWH;
A;27/10/2020 14:30;3,975;N;ORIG;KWH;
A;27/10/2020 14:45;3,54;N;ORIG;KWH;
A;27/10/2020 15:00;3,585;N;ORIG;KWH;
A;27/10/2020 15:15;1,875;N;ORIG;KWH;
A;27/10/2020 15:30;2,04;N;ORIG;KWH;
A;27/10/2020 15:45;2,7;N;ORIG;KWH;
A;27/10/2020 16:00;3,855;N;ORIG;KWH;
A;27/10/2020 16:15;1,8;N;ORIG;KWH;
A;27/10/2020 16:30;1,005;N;ORIG;KWH;
A;27/10/2020 16:45;0,63;N;ORIG;KWH;
A;27/10/2020 17:00;0,375;N;ORIG;KWH;
A;27/10/2020 17:15;0,03;N;ORIG;KWH;
A;27/10/2020 17:30;0;N;ORIG;KWH;
A;27/10/2020 17:45;0;N;ORIG;KWH;
A;27/10/2020 18:00;0;N;ORIG;KWH;
A;27/10/2020 18:15;0;N;ORIG;KWH;
A;27/10/2020 18:30;0;N;ORIG;KWH;
