Aansluitpuntdetails;
Naam;S&R KORTRIJK;
EAN-nummer;541448860016985012;
Straat;NELSON MANDELAPLEIN;
Huisnummer;19;
Postcode;8500;
Gemeente;KORTRIJK;
Energietype;Electriciteit;
Metering method;Continue
Richting;Consumptie;
Metadata;
Geen meta gevonden voor dit aansluitpunt;;;
Kanaal;Tijdstip;Waarde;Validatie;Reden;Eenheid;
A;01/01/2023 00:15;30,75;N;ORIG;KWH;
A;01/01/2023 00:30;31,5;N;ORIG;KWH;
A;01/01/2023 00:45;33,5;N;ORIG;KWH;
A;01/01/2023 01:00;31,25;N;ORIG;KWH;
A;01/01/2023 01:15;32,5;N;ORIG;KWH;
A;01/01/2023 01:30;30,75;N;ORIG;KWH;
A;01/01/2023 01:45;31,5;N;ORIG;KWH;
A;01/01/2023 02:00;33;N;ORIG;KWH;
A;01/01/2023 02:15;31,5;N;ORIG;KWH;
A;01/01/2023 02:30;30,25;N;ORIG;KWH;
A;01/01/2023 02:45;32,5;N;ORIG;KWH;
A;01/01/2023 03:00;31,5;N;ORIG;KWH;
A;01/01/2023 03:15;31,25;N;ORIG;KWH;
A;01/01/2023 03:30;32,5;N;ORIG;KWH;
A;01/01/2023 03:45;32,25;N;ORIG;KWH;
A;01/01/2023 04:00;30,75;N;ORIG;KWH;
A;01/01/2023 04:15;33;N;ORIG;KWH;
A;01/01/2023 04:30;30,5;N;ORIG;KWH;
A;01/01/2023 04:45;31,5;N;ORIG;KWH;
A;01/01/2023 05:00;32,5;N;ORIG;KWH;
A;01/01/2023 05:15;32,75;N;ORIG;KWH;
A;01/01/2023 05:30;30,5;N;ORIG;KWH;
A;01/01/2023 05:45;31;N;ORIG;KWH;
A;01/01/2023 06:00;33,25;N;ORIG;KWH;
A;01/01/2023 06:15;31,25;N;ORIG;KWH;
A;01/01/2023 06:30;33,25;N;ORIG;KWH;
A;01/01/2023 06:45;31;N;ORIG;KWH;
A;01/01/2023 07:00;32,75;N;ORIG;KWH;
A;01/01/2023 07:15;32,25;N;ORIG;KWH;
A;01/01/2023 07:30;31,5;N;ORIG;KWH;
A;01/01/2023 07:45;30,75;N;ORIG;KWH;
A;01/01/2023 08:00;33,75;N;ORIG;KWH;
A;01/01/2023 08:15;31,25;N;ORIG;KWH;
A;01/01/2023 08:30;33;N;ORIG;KWH;
A;01/01/2023 08:45;31,75;N;ORIG;KWH;
A;01/01/2023 09:00;31,25;N;ORIG;KWH;
A;01/01/2023 09:15;33;N;ORIG;KWH;
A;01/01/2023 09:30;29,75;N;ORIG;KWH;
A;01/01/2023 09:45;32,25;N;ORIG;KWH;
A;01/01/2023 10:00;31,5;N;ORIG;KWH;
A;01/01/2023 10:15;31,25;N;ORIG;KWH;
A;01/01/2023 10:30;30,5;N;ORIG;KWH;
A;01/01/2023 10:45;30,75;N;ORIG;KWH;
A;01/01/2023 11:00;31,5;N;ORIG;KWH;
A;01/01/2023 11:15;30;N;ORIG;KWH;
A;01/01/2023 11:30;27,75;N;ORIG;KWH;
A;01/01/2023 11:45;28,5;N;ORIG;KWH;
A;01/01/2023 12:00;29,5;N;ORIG;KWH;
A;01/01/2023 12:15;28;N;ORIG;KWH;
A;01/01/2023 12:30;30;N;ORIG;KWH;
A;01/01/2023 12:45;29,5;N;ORIG;KWH;
A;01/01/2023 13:00;30,25;N;ORIG;KWH;
A;01/01/2023 13:15;31,5;N;ORIG;KWH;
A;01/01/2023 13:30;31,25;N;ORIG;KWH;
A;01/01/2023 13:45;21,25;N;ORIG;KWH;
A;01/01/2023 14:00;11,5;N;ORIG;KWH;
A;01/01/2023 14:15;11,5;N;ORIG;KWH;
A;01/01/2023 14:30;13,25;N;ORIG;KWH;
A;01/01/2023 14:45;13;N;ORIG;KWH;
A;01/01/2023 15:00;11;N;ORIG;KWH;
A;01/01/2023 15:15;11,25;N;ORIG;KWH;
A;01/01/2023 15:30;10,5;N;ORIG;KWH;
A;01/01/2023 15:45;13;N;ORIG;KWH;
A;01/01/2023 16:00;20;N;ORIG;KWH;
A;01/01/2023 16:15;28,25;N;ORIG;KWH;
A;01/01/2023 16:30;30,25;N;ORIG;KWH;
A;01/01/2023 16:45;33,75;N;ORIG;KWH;
A;01/01/2023 17:00;30,75;N;ORIG;KWH;
A;01/01/2023 17:15;31,75;N;ORIG;KWH;
A;01/01/2023 17:30;33;N;ORIG;KWH;
A;01/01/2023 17:45;16,5;N;ORIG;KWH;
A;01/01/2023 18:00;14,25;N;ORIG;KWH;
A;01/01/2023 18:15;17,25;N;ORIG;KWH;
A;01/01/2023 18:30;14;N;ORIG;KWH;
A;01/01/2023 18:45;15,25;N;ORIG;KWH;
A;01/01/2023 19:00;15,75;N;ORIG;KWH;
A;01/01/2023 19:15;25,5;N;ORIG;KWH;
A;01/01/2023 19:30;33,25;N;ORIG;KWH;
A;01/01/2023 19:45;30,75;N;ORIG;KWH;
A;01/01/2023 20:00;32;N;ORIG;KWH;
A;01/01/2023 20:15;33,5;N;ORIG;KWH;
A;01/01/2023 20:30;32,75;N;ORIG;KWH;
