BCE,BST1,BSTA,BST5,KWEA,KWEAD,KWEP,KWEPARKING,THEWING,THELEVEL
29.67,9,7.5,0,72,1.73,0,0.23,13.33,6.35
28.71,8,7.5,0,72,1.33,0,0.23,12.97,6.05
27.58,9,7.5,0,70,1.53,0,0.23,14.33,6.15
25.97,9,7.5,0,71,1.83,0,0.23,15.18,6.25
27.34,9,7.5,0,71,2.84,0,0.23,13.78,6.35
27.02,8,7.5,0,73,2.54,0,0.23,16.04,6.35
28.31,9,7.5,0,71,2.94,0,0.23,15.89,6.15
28.23,9,7.5,0,71,3.74,0,0.23,11.72,8.36
27.26,9,7.5,0,67,3.54,0,0.23,14.78,9.57
28.71,9,5,0,66,5.75,0,0.23,14.18,7.16
27.34,9,7.5,0,66,5.45,0,0.23,12.87,6.46
27.74,9,7.5,0,66,7.66,0,0.23,14.33,6.15
26.78,9,7.5,0,69,8.36,0,0.23,15.34,5.55
26.94,8,7.5,0,65,9.97,0,0.23,15.18,5.65
28.71,9,7.5,0,68,11.78,0,0.23,15.89,5.65
28.39,9,7.5,0,67,12.49,0,0.23,20.66,5.55
27.82,9,7.5,0,70,13.89,0,0.23,16.89,5.25
26.86,8,5,1,66,15.9,0,0.23,17.45,5.05
28.15,9,7.5,2,66,16.71,0,0.23,14.88,5.95
28.63,9,7.5,10,70,19.52,0,0.23,20.71,6.35
32.33,9,7.5,19,70,19.22,1,0.23,17.65,6.35
28.95,9,7.5,25,69,21.43,11,0.23,14.18,5.45
31.68,9,7.5,28,69,20.73,20,0.23,16.99,5.55
27.74,9,7.5,31,74,23.24,25,0.23,14.98,5.75
29.19,9,7.5,35,72,21.13,23,0.23,13.78,5.85
29.99,9,7.5,34,72,23.14,23,0.23,16.69,5.75
27.58,8,7.5,37,72,21.33,26,0.23,16.49,5.45
27.26,9,7.5,37,73,23.64,28,0.23,13.48,5.55
31.12,9,7.5,40,74,22.03,28,0.23,13.78,5.65
31.6,9,7.5,40,70,23.64,29,0.23,13.33,5.55
26.14,9,7.5,42,75,22.84,25,0.23,16.09,5.65
27.5,8,10,43,72,23.34,23,0.23,14.83,5.85
25.41,9,7.5,42,73,23.94,26,0.23,13.38,7.96
23,9,7.5,42,71,22.84,29,0.23,13.02,8.87
23.56,9,7.5,41,70,23.94,30,0.23,14.68,7.76
24.21,8,7.5,42,74,22.54,29,0.23,15.23,7.36
26.62,9,7.5,42,71,24.04,30,0.23,14.58,5.95
21.87,9,10,42,71,22.64,30,0.23,13.22,6.15
20.67,9,7.5,42,72,24.34,30,0.23,12.67,5.95
22.76,8,10,42,70,21.83,30,0.23,13.93,8.97
21.63,9,7.5,42,73,23.44,30,0.23,11.77,15.1
20.27,9,7.5,43,70,23.24,31,0.23,13.12,15.2
20.11,9,10,42,74,22.84,31,0.23,11.47,15.2
20.99,8,7.5,42,71,23.84,24,0.23,11.32,15.1
20.59,9,7.5,41,70,22.84,22,0.23,11.82,15.1
20.75,8,10,42,71,23.44,30,0.23,13.02,14.7
19.94,10,7.5,42,71,22.33,36,0.23,11.72,14.7
20.35,8,10,42,72,24.04,36,0.23,10.61,14.9
20.67,8,10,42,69,22.43,31,0.23,9.61,14.9
20.35,9,7.5,41,71,24.55,29,0.23,11.27,14.7
20.11,9,10,43,73,22.43,30,0.23,10.36,14.8
20.43,8,7.5,42,72,24.04,29,0.23,9.81,14.6
23,9,10,41,72,22.64,31,0.23,9.51,14.9
20.99,9,7.5,43,74,23.64,29,0.23,8.75,14.9
20.99,9,10,41,69,22.23,29,0.23,10.01,15
20.27,8,7.5,41,73,23.44,29,0.23,9.86,15
20.11,9,10,43,70,22.64,23,0.23,9.51,15
20.99,9,7.5,42,73,23.14,23,0.23,8.8,14.9
