BST5,KWEA,KWEAD,KWEP
44,0,1.8,95
43,0,2.6,93
43,0,2.1,92
41,0,2.1,93
41,0,1.2,95
39,0,1.2,96
37,0,1.1,88
35,0,0.2,80
33,0,0.1,75
29,0,0,70
29,0,0,65
25,0,0,61
22,0,0,54
18,0,0,52
18,0,0,44
14,0,0,37
7,0,0,31
2,0,0,31
0,0,0,24
0,0,0,11
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,6
0,0,0,11
0,0,0,19
2,0,0,27
6,0,0,33
8,0,0,40
9,0,0.1,46
16,0,0.4,53
16,0,1,58
12,0,1.7,63
28,0,1.3,73
25,0,2.5,80
22,0,1.5,75
33,0,2.4,74
36,0,2.6,82
38,0,2.6,85
43,0,3.3,93
43,0,3.2,94
46,0,4,94
44,0,3,89
44,0,4.5,90
45,0,2.2,85
44,0,3.5,92
46,0,2.1,99
45,0,3,98
43,0,1.5,86
38,0,1.8,82
39,0,0.5,77
38,0,1,77
37,0,0.4,75
29,0,0,64
17,0,0,48
12,0,0,44
12,0,0,44
13,0,0,36
9,0,0,31
4,0,0,20
1,0,0,13
0,0,0,13
0,0,0,11
1,0,0,5
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,0
0,0,0,1
1,0,0,3
2,0,0,1
5,0,0,5
11,0,0,14
13,0,0,4
14,0,0,13
12,0,0,7
11,0,0,11
14,0,0,18
14,0,0,15
14,0,0,7
15,0,0,23
13,0,0,21
15,0,0,20
12,0,0,15
17,0,0,13
8,0,0,10
8,0,0,13
10,0,0,7
16,0,0,0
14,0,0,0
11,0,0,0
12,0,0,2
4,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
2,0,0,0
6,0,0,0
6,0,0,2
9,0,0,8
15,0,0,9
17,0,0,9
18,0,0,13
22,0,0,17
22,0,0,16
17,0,0,17
14,0,0,13
18,0,0,10
17,0,0,12
21,0,0,15
21,0,0,17
20,0,0,12
20,0,0,5
19,0,0,5
21,0,0,6
20,0,0,4
18,0,0,0
16,0,0,0
13,0,0,0
14,0,0,0
10,0,0,0
7,0,0,0
5,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
6,0,0,0
7,0,0,0
11,0,0,0
13,0,0,0
12,0,0,0
18,0,0,0
19,0,0,1
23,0,0,0
21,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
22,0,0,0
18,0,0,0
14,0,0,0
20,0,0,0
21,0,0,0
20,0,0,0
15,0,0,0
17,0,0,0
16,0,0,0
11,0,0,0
13,0,0,0
8,0,0,0
6,0,0,0
2,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,4
2,0,0,13
5,0,0,18
9,0,0,26
14,0,0,31
18,0,0,38
20,0,0.3,49
26,0,0.7,56
27,0,1,61
30,0,1.7,58
34,0,2.1,64
36,0,2,67
38,0,2.5,72
41,0,2.6,75
41,0,2.9,77
44,0,3.3,77
43,0,2.2,80
45,0,3.5,83
45,0,2.4,84
46,0,2.9,93
47,0,1.6,92
45,0,2.9,85
48,0,1.9,83
46,0,2.2,82
45,0,1.3,80
42,0,1.3,77
42,0,0.9,74
41,0,0.7,70
39,0,0.1,68
36,0,0,61
32,0,0,58
31,0,0,57
28,0,0,54
25,0,0,43
20,0,0,38
15,0,0,31
13,0,0,24
8,0,0,17
3,0,0,9
0,0,0,2
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,0,0,0
6,0,0,0
8,0,0,0
13,0,0,0
21,0,0,0
20,0,0,0
23,0,0,0
21,0,0,0
21,0,0,0
21,0,0,0
20,0,0,0
20,0,0,0
23,0,0,0
22,0,0,0
24,0,0,0
23,0,0,0
24,0,0,0
21,0,0,0
21,0,0,0
18,0,0,0
17,0,0,0
15,0,0,0
11,0,0,0
10,0,0,0
6,0,0,0
3,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
3,0,0,0
2,0,0,0
6,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
15,0,0,0
16,0,0,0
19,0,0,0
17,0,0,0
21,0,0,0
19,0,0,0
16,0,0,0
20,0,0,0
17,0,0,0
19,0,0,0
19,0,0,0
18,0,0,0
15,0,0,0
17,0,0,0
15,0,0,0
14,0,0,0
14,0,0,0
16,0,0,0
15,0,0,0
14,0,0,0
10,0,0,0
6,0,0,0
2,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
3,0,0,0
0,0,0,0
5,0,0,0
16,0,0,0
8,0,0,0
11,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
22,0,0,2
24,0,0,3
26,0,0,1
23,0,0,1
28,0,0,0
28,0,0,0
27,0,0,1
27,0,0,0
23,0,0,1
25,0,0,0
26,0,0,0
23,0,0,0
20,0,0,0
20,0,0,0
17,0,0,0
16,0,0,0
12,0,0,0
11,0,0,0
5,0,0,0
2,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
4,0,0,0
8,0,0,0
15,0,0,0
16,0,0,0
14,0,0,0
14,0,0,0
17,0,0,0
18,0,0,0
15,0,0,0
13,0,0,0
11,0,0,0
11,0,0,0
12,0,0,0
10,0,0,0
14,0,0,0
8,0,0,0
10,0,0,0
7,0,0,0
8,0,0,0
8,0,0,0
3,0,0,0
2,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
3,0,0,0
4,0,0,0
7,0,0,0
5,0,0,0
11,0,0,0
14,0,0,0
16,0,0,0
21,0,0,0
19,0,0,0
23,0,0,0
16,0,0,1
18,0,0,0
21,0,0,0
21,0,0,0
25,0,0,1
25,0,0,0
24,0,0,4
23,0,0,0
20,0,0,0
18,0,0,0
16,0,0,0
20,0,0,0
16,0,0,0
16,0,0,0
16,0,0,0
6,0,0,0
8,0,0,0
4,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,5
0,0,0,12
0,0,0,15
2,0,0,17
4,0,0,25
7,0,0,30
11,0,0,37
14,0,0,42
16,0,0.3,46
21,0,0.3,50
21,0,0.7,57
25,0,1.1,62
27,0,1,70
29,0,2,74
31,0,0.9,33
35,0,1.6,17
35,0,1.4,16
36,0,1.9,23
36,0,1.4,25
36,0,1.1,27
38,0,1.9,19
36,0,1.1,31
29,0,1.6,24
36,0,1,30
20,0,1,29
35,0,1.1,29
23,0,0.4,14
25,0,0.3,16
31,0,0,12
27,0,0.1,10
26,0,0,3
20,0,0,4
23,0,0,0
12,0,0,0
15,0,0,0
4,0,0,0
