Time,1_Plant1,1_Plant2,1_Plant3,2_Plant1,2_Plant2,2_Plant3,3_Plant1,3_Plant2,3_Plant3,4_Plant1,4_Plant2,4_Plant3,5_Plant1,5_Plant2,5_Plant3,6_Plant1,6_Plant2,6_Plant3,7_Plant1,7_Plant2,7_Plant3
1,422.0379989484638,0.0,0.0,0.0,1.2902702804840374,0.0,149.40000000000012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0
2,445.93799894846376,50.0,0.0,115.60000000000001,3.5402702804840374,17.0,168.60000000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,4.236716658463759,0.0,0.0
3,422.0379989484638,0.0,0.0,193.68671665846375,5.790270280484037,34.0,149.40000000000012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0
4,430.20000000000005,50.0,0.0,309.2867166584638,8.040270280484037,51.0,168.60000000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0
5,454.1,100.0,0.0,424.8867166584638,10.290270280484037,68.0,187.80000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,25.0,2.349151658463768,0.0
6,478.0,150.0,0.0,540.4867166584638,12.540270280484037,85.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,50.0,74.34915165846377,0.0
7,477.99999999999983,100.0,0.0,607.687395388464,14.790270280484037,102.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,75.0,52.63521945846376,0.0
8,478.0,50.0,0.0,492.08739538846396,12.540270280484037,85.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,75.0,5.631263948463619,0.0
9,477.99999999999983,3.037535809999717,0.0,414.5766464484639,14.790270280484037,102.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,50.0,21.134605558464138,0.0
10,478.0,53.03753580999972,0.0,530.176646448464,17.040270280484037,119.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,25.0,89.49093405846376,0.0
11,454.1,3.037535809999717,0.0,414.57664644846403,14.790270280484037,102.0,187.80000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,17.490934058463765,0.0
12,477.99999999999983,50.0,0.0,298.976646448464,12.540270280484037,85.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,25.0,54.55481232846377,0.0
13,478.0,0.0,0.0,183.376646448464,10.290270280484037,68.0,203.99004747846342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0
14,454.1,0.0,0.0,146.1289908684637,12.540270280484037,85.0,187.80000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0
15,478.0,50.0,0.0,261.7289908684637,14.790270280484037,102.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,25.0,21.607623288463756,0.0
16,478.0,0.0,0.0,146.1289908684637,12.540270280484037,85.0,191.7551993184638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0
17,478.0,0.0,0.0,204.49129509846375,10.290270280484037,76.78154538999998,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,25.0,39.44752383846385,0.0
18,478.0,50.0,0.0,320.0912950984638,12.540270280484037,93.78154538999998,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,50.0,49.44418894846376,0.0
19,478.0,0.0,0.0,368.3409893484638,10.290270280484037,110.78154538999998,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,75.0,26.087224618463765,0.0
20,477.99999999999983,50.0,0.0,384.638164618948,9.0,93.78154538999998,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,100.0,6.535187658463769,0.0
21,477.99999999999983,0.0,0.0,269.038164618948,6.75,76.78154538999998,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,96.20766458846373,0.0,0.0
22,477.99999999999983,8.739965780000004,0.0,384.638164618948,9.0,93.78154538999998,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,99.66840915846376,17.762695800000003,0.0
